name,tags,rmp_info,take_again
"Ipsen, Carl","['Get ready to read (12)', 'EXTRA CREDIT (6)', 'Lecture heavy (4)', 'Tough grader (3)', 'Clear grading criteria (2)', 'So many papers (2)', 'Test heavy (2)', 'Caring (2)', 'Graded by few things (1)', 'Inspirational (1)', 'Lots of homework (1)']",3.5,70%
"Robinson, Jill","['Respected (24)', 'Caring (20)', 'Lots of homework (11)', 'Gives good feedback (11)', 'Amazing lectures (10)', 'Participation matters (8)', 'Clear grading criteria (8)', 'Tough grader (6)', 'Lecture heavy (5)', 'Accessible outside class (5)', 'Test heavy (2)', 'Hilarious (1)', 'Inspirational (1)', 'EXTRA CREDIT (1)']",4.0,97%
"Schultz, Kenneth",[],NA,NA
,[],NA,NA
"Higgins, David",[],4.6,NA
"Grim, Valerie",[],3.0,NA
"Herbenick, Debby","['Inspirational (3)', 'Caring (3)', 'Respected (3)', 'Hilarious (1)', 'Amazing lectures (1)', 'Lecture heavy (1)', 'Lots of homework (1)', 'Gives good feedback (1)']",4.8,NA
"Sandweiss, ",[],4.4,NA
"Hodder, Leslie",[],2.4,NA
"Liggett, Tish",[],5.0,NA
"Boggess, Jeremy",[],2.9,NA
,[],NA,NA
"Byler, Troy","['Inspirational (3)', 'Participation matters (2)', 'Hilarious (2)', 'Caring (2)', 'Group projects (1)', 'Gives good feedback (1)']",4.3,NA
"Moore, Joe",[],3.3,NA
"Reynolds, Amy",[],4.5,NA
"Swelam, Haitham",[],3.1,NA
"Finn, Peter","['Clear grading criteria (7)', 'Caring (5)', 'Accessible outside class (5)', 'Lecture heavy (4)', 'EXTRA CREDIT (3)', 'Test heavy (3)', 'Respected (3)', 'Amazing lectures (3)', 'Hilarious (2)', 'Tough grader (2)', 'Graded by few things (1)', 'Inspirational (1)', 'Participation matters (1)', 'Gives good feedback (1)']",4.2,100%
,[],NA,NA
"Smith, Malcolm",[],3.2,NA
"Craig, James","['Caring (1)', 'Respected (1)']",4.1,NA
"Musser, James",[],3.8,NA
"Guschwan, Matt",[],2.1,NA
"O'Loughlin, Valerie","['Amazing lectures (4)', 'Respected (4)', 'Clear grading criteria (2)', 'EXTRA CREDIT (2)', 'Hilarious (2)', 'Accessible outside class (1)', 'Lecture heavy (1)']",4.8,100%
,[],NA,NA
"Bingham, Geoffrey","['Tough grader (5)', 'Lecture heavy (3)', 'Test heavy (1)']",3.0,NA
"Lester, Frank",[],3.3,NA
"Wright, Gerald","['Participation matters (2)', 'Lecture heavy (1)', 'Tough grader (1)', 'Amazing lectures (1)', 'Get ready to read (1)']",3.2,NA
"McRobbie, Michael",[],NA,NA
"Pressler, Menahem","['Inspirational (1)', 'Respected (1)']",5.0,NA
"Cutshall, Rex","['Hilarious (6)', 'Lecture heavy (3)', 'Participation matters (3)', 'Tough grader (2)', 'Gives good feedback (2)', 'Caring (2)', 'Clear grading criteria (2)', 'Test heavy (1)', 'Respected (1)', 'Get ready to read (1)', 'Lots of homework (1)']",3.9,83%
"Baker, David",[],4.0,NA
,[],NA,NA
